Time,Boss,Event
11/21/2019 10:58,AZUREGOS,KILLED
11/21/2019 15:30,KAZZAK,KILLED
11/24/2019 13:34,KAZZAK,CHECKED
11/24/2019 13:49,KAZZAK,CHECKED
11/24/2019 13:58,KAZZAK,CHECKED
11/24/2019 13:59,AZUREGOS,CHECKED
11/24/2019 15:24,AZUREGOS,CHECKED
11/24/2019 19:30,AZUREGOS,CHECKED
11/24/2019 19:38,KAZZAK,CHECKED
11/24/2019 19:46,AZUREGOS,CHECKED
11/24/2019 20:45,KAZZAK,CHECKED
11/24/2019 21:13,KAZZAK,CHECKED
11/24/2019 21:30,KAZZAK,CHECKED
11/24/2019 21:57,KAZZAK,CHECKED
11/24/2019 22:26,KAZZAK,CHECKED
11/24/2019 23:10,KAZZAK,CHECKED
11/24/2019 23:40,KAZZAK,CHECKED
11/25/2019 0:00,AZUREGOS,CHECKED
11/25/2019 0:53,KAZZAK,CHECKED
11/25/2019 1:17,KAZZAK,CHECKED
11/25/2019 1:27,AZUREGOS,CHECKED
11/25/2019 1:42,KAZZAK,CHECKED
11/25/2019 1:55,AZUREGOS,CHECKED
11/25/2019 2:13,KAZZAK,CHECKED
11/25/2019 2:25,AZUREGOS,CHECKED
11/25/2019 2:47,KAZZAK,CHECKED
11/25/2019 2:57,AZUREGOS,CHECKED
11/25/2019 3:11,KAZZAK,CHECKED
11/25/2019 3:17,AZUREGOS,CHECKED
11/25/2019 3:52,KAZZAK,CHECKED
11/25/2019 3:54,AZUREGOS,CHECKED
11/25/2019 4:28,AZUREGOS,CHECKED
11/25/2019 4:41,KAZZAK,CHECKED
11/25/2019 4:56,KAZZAK,CHECKED
11/25/2019 5:01,AZUREGOS,CHECKED
11/25/2019 5:15,KAZZAK,CHECKED
11/25/2019 5:34,KAZZAK,CHECKED
11/25/2019 5:45,AZUREGOS,CHECKED
11/25/2019 6:00,KAZZAK,CHECKED
11/25/2019 6:07,KAZZAK,CHECKED
11/25/2019 6:18,AZUREGOS,CHECKED
11/25/2019 6:52,AZUREGOS,CHECKED
11/25/2019 7:11,AZUREGOS,CHECKED
11/25/2019 7:24,AZUREGOS,CHECKED
11/25/2019 7:39,AZUREGOS,CHECKED
11/25/2019 8:00,AZUREGOS,CHECKED
11/25/2019 8:09,KAZZAK,CHECKED
11/25/2019 8:23,AZUREGOS,CHECKED
11/25/2019 8:54,AZUREGOS,CHECKED
11/25/2019 9:00,KAZZAK,CHECKED
11/25/2019 9:00,AZUREGOS,CHECKED
11/25/2019 9:30,KAZZAK,CHECKED
11/25/2019 9:30,AZUREGOS,CHECKED
11/25/2019 9:43,AZUREGOS,CHECKED
11/25/2019 9:47,KAZZAK,CHECKED
11/25/2019 10:00,AZUREGOS,CHECKED
11/25/2019 10:00,KAZZAK,CHECKED
11/25/2019 10:11,KAZZAK,CHECKED
11/25/2019 10:32,AZUREGOS,CHECKED
11/25/2019 10:35,KAZZAK,CHECKED
11/25/2019 10:59,AZUREGOS,CHECKED
11/25/2019 11:03,KAZZAK,CHECKED
11/25/2019 11:30,KAZZAK,CHECKED
11/25/2019 11:30,AZUREGOS,CHECKED
11/25/2019 11:58,KAZZAK,CHECKED
11/25/2019 12:00,KAZZAK,CHECKED
11/25/2019 12:00,AZUREGOS,CHECKED
11/25/2019 12:30,AZUREGOS,CHECKED
11/25/2019 12:30,KAZZAK,CHECKED
11/25/2019 13:00,AZUREGOS,CHECKED
11/25/2019 13:00,KAZZAK,CHECKED
11/25/2019 13:30,KAZZAK,CHECKED
11/25/2019 13:30,AZUREGOS,CHECKED
11/25/2019 14:00,AZUREGOS,CHECKED
11/25/2019 14:00,KAZZAK,CHECKED
11/25/2019 14:30,KAZZAK,CHECKED
11/25/2019 14:30,AZUREGOS,CHECKED
11/25/2019 14:55,KAZZAK,CHECKED
11/25/2019 15:00,AZUREGOS,CHECKED
11/25/2019 15:34,KAZZAK,CHECKED
11/25/2019 17:02,KAZZAK,CHECKED
11/25/2019 17:03,KAZZAK,CHECKED
11/25/2019 17:48,KAZZAK,CHECKED
11/25/2019 17:57,AZUREGOS,CHECKED
11/25/2019 18:03,KAZZAK,CHECKED
11/25/2019 18:27,KAZZAK,CHECKED
11/25/2019 18:28,AZUREGOS,CHECKED
11/25/2019 18:54,AZUREGOS,CHECKED
11/25/2019 18:56,KAZZAK,CHECKED
11/25/2019 19:31,KAZZAK,KILLED
11/26/2019 0:11,AZUREGOS,CHECKED
11/26/2019 1:07,AZUREGOS,CHECKED
11/26/2019 1:32,AZUREGOS,CHECKED
11/26/2019 1:44,AZUREGOS,CHECKED
11/26/2019 2:10,AZUREGOS,CHECKED
11/26/2019 2:34,AZUREGOS,CHECKED
11/26/2019 3:13,AZUREGOS,CHECKED
11/26/2019 3:41,AZUREGOS,CHECKED
11/26/2019 3:55,AZUREGOS,CHECKED
11/26/2019 4:26,AZUREGOS,CHECKED
11/26/2019 4:56,AZUREGOS,CHECKED
11/26/2019 5:27,AZUREGOS,CHECKED
11/26/2019 5:58,AZUREGOS,CHECKED
11/26/2019 6:20,AZUREGOS,CHECKED
11/26/2019 6:37,AZUREGOS,KILLED
11/26/2019 9:28,KAZZAK,CHECKED
11/26/2019 9:32,AZUREGOS,CHECKED
11/26/2019 10:00,AZUREGOS,CHECKED
11/26/2019 10:00,KAZZAK,CHECKED
11/26/2019 10:30,KAZZAK,CHECKED
11/26/2019 10:30,AZUREGOS,CHECKED
11/26/2019 12:00,AZUREGOS,CHECKED
11/26/2019 12:00,KAZZAK,CHECKED
11/26/2019 12:30,AZUREGOS,CHECKED
11/26/2019 12:30,KAZZAK,CHECKED
11/26/2019 12:54,KAZZAK,CHECKED
11/26/2019 13:01,KAZZAK,CHECKED
11/26/2019 13:01,AZUREGOS,CHECKED
11/26/2019 14:00,AZUREGOS,CHECKED
11/26/2019 14:01,KAZZAK,CHECKED
11/26/2019 14:30,KAZZAK,CHECKED
11/26/2019 14:30,AZUREGOS,CHECKED
11/26/2019 15:13,AZUREGOS,CHECKED
11/26/2019 15:58,AZUREGOS,CHECKED
11/26/2019 16:35,KAZZAK,CHECKED
11/26/2019 16:53,KAZZAK,CHECKED
11/26/2019 18:04,KAZZAK,CHECKED
11/26/2019 21:29,AZUREGOS,CHECKED
11/26/2019 21:59,AZUREGOS,CHECKED
11/26/2019 22:33,AZUREGOS,CHECKED
11/26/2019 23:01,AZUREGOS,CHECKED
11/26/2019 23:03,AZUREGOS,CHECKED
11/26/2019 23:03,KAZZAK,CHECKED
11/26/2019 23:32,AZUREGOS,CHECKED
11/27/2019 0:01,AZUREGOS,CHECKED
11/27/2019 0:19,KAZZAK,CHECKED
11/27/2019 0:30,AZUREGOS,CHECKED
11/27/2019 1:06,AZUREGOS,CHECKED
11/27/2019 1:08,KAZZAK,CHECKED
11/27/2019 1:31,AZUREGOS,CHECKED
11/27/2019 1:39,KAZZAK,CHECKED
11/27/2019 2:03,KAZZAK,CHECKED
11/27/2019 2:04,AZUREGOS,CHECKED
11/27/2019 2:30,AZUREGOS,CHECKED
11/27/2019 2:33,KAZZAK,CHECKED
11/27/2019 3:03,KAZZAK,CHECKED
11/27/2019 3:05,AZUREGOS,CHECKED
11/27/2019 3:36,KAZZAK,CHECKED
11/27/2019 3:37,AZUREGOS,CHECKED
11/27/2019 4:02,AZUREGOS,CHECKED
11/27/2019 4:32,AZUREGOS,CHECKED
11/27/2019 4:33,KAZZAK,CHECKED
11/27/2019 5:03,KAZZAK,CHECKED
11/27/2019 5:05,AZUREGOS,CHECKED
11/27/2019 5:30,AZUREGOS,CHECKED
11/27/2019 5:37,KAZZAK,CHECKED
11/27/2019 6:04,KAZZAK,CHECKED
11/27/2019 6:04,AZUREGOS,CHECKED
11/27/2019 6:32,KAZZAK,CHECKED
11/27/2019 6:33,AZUREGOS,CHECKED
11/27/2019 7:01,AZUREGOS,CHECKED
11/27/2019 7:04,KAZZAK,CHECKED
11/27/2019 8:01,AZUREGOS,CHECKED
11/26/2019 9:29,AZUREGOS,RESET
11/26/2019 9:29,KAZZAK,RESET
11/27/2019 7:06,KAZZAK,SPAWN
11/27/2019 7:19,KAZZAK,KILLED
11/27/2019 8:34,AZUREGOS,CHECKED
11/27/2019 9:05,AZUREGOS,CHECKED
11/27/2019 9:30,AZUREGOS,CHECKED
11/27/2019 10:02,AZUREGOS,CHECKED
11/27/2019 10:29,AZUREGOS,CHECKED
11/27/2019 10:53,AZUREGOS,CHECKED
11/27/2019 11:00,AZUREGOS,CHECKED
11/27/2019 11:30,AZUREGOS,CHECKED
11/27/2019 12:00,AZUREGOS,CHECKED
11/27/2019 12:30,AZUREGOS,CHECKED
11/27/2019 13:00,AZUREGOS,CHECKED
11/27/2019 13:30,AZUREGOS,CHECKED
11/27/2019 14:00,AZUREGOS,CHECKED
11/27/2019 14:32,AZUREGOS,CHECKED
11/27/2019 15:30,AZUREGOS,CHECKED
11/27/2019 15:57,AZUREGOS,CHECKED
11/27/2019 16:27,AZUREGOS,CHECKED
11/27/2019 17:06,AZUREGOS,CHECKED
11/27/2019 17:41,AZUREGOS,CHECKED
11/27/2019 18:06,AZUREGOS,CHECKED
11/27/2019 18:35,AZUREGOS,SPAWN
11/27/2019 18:47,AZUREGOS,KILLED
11/21/2019 10:46,AZUREGOS,SPAWN
11/21/2019 19:12,KAZZAK,SPAWN
11/25/2019 19:12,KAZZAK,SPAWN
11/26/2019 6:20,AZUREGOS,SPAWN
11/20/2019 7:10,KAZZAK,RESET
11/20/2019 7:10,AZUREGOS,RESET
11/20/2019 5:38,AZUREGOS,SPAWN
11/18/2019 6:38,AZUREGOS,SPAWN
11/18/2019 8:52,AZUREGOS,KILLED
11/19/2019 4:08,KAZZAK,SPAWN
11/19/2019 4:21,KAZZAK,KILLED
11/28/2019 14:20,KAZZAK,CHECKED
11/28/2019 15:00,KAZZAK,CHECKED
11/28/2019 15:03,AZUREGOS,CHECKED
11/28/2019 15:44,KAZZAK,CHECKED
11/28/2019 19:50,KAZZAK,CHECKED
11/28/2019 20:26,KAZZAK,CHECKED
11/28/2019 20:55,KAZZAK,CHECKED
11/28/2019 21:26,KAZZAK,CHECKED
11/28/2019 21:56,KAZZAK,CHECKED
11/28/2019 22:37,KAZZAK,CHECKED
11/28/2019 23:33,KAZZAK,CHECKED
11/29/2019 0:17,KAZZAK,CHECKED
11/29/2019 0:59,KAZZAK,CHECKED
11/29/2019 7:47,AZUREGOS,CHECKED
11/29/2019 8:15,AZUREGOS,CHECKED
11/29/2019 9:31,AZUREGOS,CHECKED
11/29/2019 10:50,AZUREGOS,CHECKED
11/29/2019 11:22,AZUREGOS,CHECKED
11/29/2019 12:00,AZUREGOS,CHECKED
11/29/2019 12:45,AZUREGOS,CHECKED
11/29/2019 13:08,KAZZAK,CHECKED
11/29/2019 13:20,AZUREGOS,CHECKED
11/29/2019 13:49,AZUREGOS,CHECKED
11/29/2019 14:38,AZUREGOS,CHECKED
11/29/2019 2:10,KAZZAK,SPAWN
11/29/2019 2:32,KAZZAK,KILLED
11/28/2019 15:47,AZUREGOS,SPAWN
11/28/2019 16:26,AZUREGOS,KILLED
11/29/2019 17:27,AZUREGOS,CHECKED
11/29/2019 18:16,AZUREGOS,CHECKED
11/29/2019 18:54,KAZZAK,CHECKED
11/29/2019 18:55,AZUREGOS,CHECKED
11/29/2019 19:30,AZUREGOS,CHECKED
11/29/2019 20:23,AZUREGOS,CHECKED
11/29/2019 21:47,AZUREGOS,CHECKED
11/29/2019 22:31,AZUREGOS,CHECKED
11/29/2019 23:01,AZUREGOS,CHECKED
11/29/2019 23:37,AZUREGOS,CHECKED
11/30/2019 0:05,AZUREGOS,CHECKED
11/30/2019 0:30,KAZZAK,CHECKED
11/30/2019 0:32,AZUREGOS,CHECKED
11/30/2019 1:27,AZUREGOS,CHECKED
11/30/2019 1:34,KAZZAK,CHECKED
11/30/2019 2:02,AZUREGOS,CHECKED
11/30/2019 2:03,KAZZAK,CHECKED
11/30/2019 2:34,AZUREGOS,CHECKED
11/30/2019 2:36,KAZZAK,CHECKED
11/30/2019 3:16,AZUREGOS,CHECKED
11/30/2019 3:24,KAZZAK,CHECKED
11/30/2019 4:00,AZUREGOS,CHECKED
11/30/2019 4:09,KAZZAK,CHECKED
11/30/2019 4:31,AZUREGOS,CHECKED
11/30/2019 4:44,KAZZAK,CHECKED
11/30/2019 5:00,AZUREGOS,CHECKED
11/30/2019 5:20,KAZZAK,CHECKED
11/30/2019 5:30,AZUREGOS,CHECKED
11/30/2019 5:35,KAZZAK,CHECKED
11/30/2019 6:00,AZUREGOS,CHECKED
11/30/2019 6:17,KAZZAK,CHECKED
11/30/2019 6:30,AZUREGOS,CHECKED
11/30/2019 6:47,KAZZAK,CHECKED
11/30/2019 7:00,AZUREGOS,CHECKED
11/30/2019 7:33,AZUREGOS,CHECKED
11/30/2019 7:34,KAZZAK,CHECKED
11/30/2019 8:00,KAZZAK,CHECKED
11/30/2019 8:00,AZUREGOS,CHECKED
11/30/2019 8:36,AZUREGOS,CHECKED
11/30/2019 9:02,AZUREGOS,CHECKED
11/30/2019 9:16,KAZZAK,CHECKED
11/30/2019 9:29,AZUREGOS,CHECKED
11/30/2019 10:00,AZUREGOS,CHECKED
11/30/2019 10:32,AZUREGOS,CHECKED
11/30/2019 10:38,KAZZAK,CHECKED
11/30/2019 11:05,AZUREGOS,CHECKED
11/30/2019 11:34,AZUREGOS,CHECKED
11/30/2019 12:07,AZUREGOS,CHECKED
11/30/2019 12:23,KAZZAK,CHECKED
11/30/2019 12:39,AZUREGOS,CHECKED
11/30/2019 12:48,AZUREGOS,CHECKED
11/30/2019 12:49,KAZZAK,CHECKED
11/30/2019 12:49,KAZZAK,CHECKED
11/30/2019 12:52,AZUREGOS,CHECKED
11/30/2019 13:06,AZUREGOS,CHECKED
11/30/2019 13:35,AZUREGOS,CHECKED
11/30/2019 14:09,AZUREGOS,CHECKED
11/30/2019 14:12,KAZZAK,CHECKED
11/30/2019 14:22,KAZZAK,CHECKED
11/30/2019 14:31,AZUREGOS,CHECKED
11/30/2019 15:06,KAZZAK,CHECKED
11/30/2019 15:10,AZUREGOS,CHECKED
11/30/2019 15:38,AZUREGOS,CHECKED
11/30/2019 15:51,AZUREGOS,CHECKED
11/30/2019 15:55,AZUREGOS,CHECKED
11/30/2019 16:23,KAZZAK,CHECKED
11/30/2019 16:36,AZUREGOS,CHECKED
11/30/2019 16:37,KAZZAK,CHECKED
11/30/2019 17:13,KAZZAK,CHECKED
11/30/2019 17:13,AZUREGOS,CHECKED
11/30/2019 17:50,AZUREGOS,CHECKED
11/30/2019 18:10,AZUREGOS,CHECKED
11/30/2019 18:35,AZUREGOS,CHECKED
11/30/2019 20:06,KAZZAK,CHECKED
11/30/2019 21:07,KAZZAK,CHECKED
11/30/2019 22:11,AZUREGOS,CHECKED
11/30/2019 22:57,AZUREGOS,CHECKED
11/30/2019 23:36,AZUREGOS,CHECKED
11/30/2019 23:49,KAZZAK,CHECKED
12/1/2019 0:08,AZUREGOS,CHECKED
12/1/2019 0:19,KAZZAK,CHECKED
12/1/2019 0:37,AZUREGOS,CHECKED
12/1/2019 0:37,AZUREGOS,CHECKED
12/1/2019 0:44,KAZZAK,CHECKED
12/1/2019 1:07,AZUREGOS,CHECKED
12/1/2019 1:36,KAZZAK,CHECKED
12/1/2019 1:41,AZUREGOS,CHECKED
12/1/2019 1:59,AZUREGOS,CHECKED
12/1/2019 2:18,KAZZAK,CHECKED
12/1/2019 2:26,AZUREGOS,CHECKED
12/1/2019 2:53,AZUREGOS,CHECKED
12/1/2019 3:20,AZUREGOS,CHECKED
12/1/2019 3:32,KAZZAK,CHECKED
12/1/2019 3:48,AZUREGOS,CHECKED
12/1/2019 4:01,KAZZAK,CHECKED
12/1/2019 4:16,AZUREGOS,CHECKED
12/1/2019 4:35,AZUREGOS,CHECKED
12/1/2019 4:55,KAZZAK,CHECKED
12/1/2019 4:56,AZUREGOS,CHECKED
12/1/2019 5:22,AZUREGOS,CHECKED
12/1/2019 5:31,KAZZAK,CHECKED
12/1/2019 5:46,AZUREGOS,CHECKED
12/1/2019 6:01,KAZZAK,CHECKED
12/1/2019 6:08,KAZZAK,CHECKED
12/1/2019 6:09,AZUREGOS,CHECKED
12/1/2019 6:32,KAZZAK,CHECKED
12/1/2019 6:37,AZUREGOS,CHECKED
12/1/2019 6:56,KAZZAK,CHECKED
12/1/2019 7:06,AZUREGOS,CHECKED
12/1/2019 7:32,KAZZAK,CHECKED
12/1/2019 7:35,AZUREGOS,CHECKED
12/1/2019 8:02,AZUREGOS,CHECKED
12/1/2019 8:22,KAZZAK,CHECKED
12/1/2019 8:30,AZUREGOS,CHECKED
12/1/2019 9:00,AZUREGOS,CHECKED
12/1/2019 9:38,KAZZAK,CHECKED
12/1/2019 10:16,AZUREGOS,CHECKED
12/1/2019 11:00,AZUREGOS,CHECKED
12/1/2019 12:31,KAZZAK,CHECKED
12/1/2019 12:32,AZUREGOS,CHECKED
12/1/2019 12:51,AZUREGOS,CHECKED
12/1/2019 13:00,AZUREGOS,CHECKED
12/1/2019 13:00,KAZZAK,CHECKED
12/1/2019 13:13,AZUREGOS,CHECKED
12/1/2019 13:30,KAZZAK,CHECKED
12/1/2019 13:30,AZUREGOS,CHECKED
12/1/2019 14:00,KAZZAK,CHECKED
12/1/2019 14:00,AZUREGOS,CHECKED
12/1/2019 14:22,AZUREGOS,SPAWN
12/1/2019 14:34,AZUREGOS,KILLED
12/1/2019 15:58,KAZZAK,CHECKED
12/1/2019 16:30,KAZZAK,CHECKED
12/1/2019 17:00,KAZZAK,CHECKED
12/1/2019 17:06,KAZZAK,CHECKED
12/1/2019 17:07,AZUREGOS,CHECKED
12/1/2019 17:31,KAZZAK,CHECKED
12/1/2019 19:12,KAZZAK,CHECKED
12/1/2019 20:42,KAZZAK,CHECKED
12/1/2019 21:11,KAZZAK,CHECKED
12/1/2019 21:41,KAZZAK,CHECKED
12/1/2019 22:30,KAZZAK,CHECKED
12/1/2019 22:52,KAZZAK,CHECKED
12/1/2019 23:19,AZUREGOS,CHECKED
12/2/2019 0:25,KAZZAK,CHECKED
12/2/2019 1:41,KAZZAK,CHECKED
12/2/2019 2:40,KAZZAK,CHECKED
12/2/2019 3:08,KAZZAK,CHECKED
12/2/2019 3:44,KAZZAK,CHECKED
12/2/2019 4:15,KAZZAK,CHECKED
12/2/2019 4:19,AZUREGOS,CHECKED
12/2/2019 4:39,KAZZAK,CHECKED
12/2/2019 5:01,KAZZAK,CHECKED
12/2/2019 5:05,AZUREGOS,CHECKED
12/2/2019 5:40,AZUREGOS,CHECKED
12/2/2019 5:47,KAZZAK,CHECKED
12/2/2019 6:10,AZUREGOS,CHECKED
12/2/2019 6:10,KAZZAK,CHECKED
12/2/2019 6:26,KAZZAK,CHECKED
12/2/2019 6:30,AZUREGOS,CHECKED
12/2/2019 6:48,AZUREGOS,CHECKED
12/2/2019 6:56,KAZZAK,CHECKED
12/2/2019 7:22,AZUREGOS,CHECKED
12/2/2019 7:46,KAZZAK,CHECKED
12/2/2019 8:03,AZUREGOS,CHECKED
12/2/2019 8:03,KAZZAK,CHECKED
12/2/2019 8:30,AZUREGOS,CHECKED
12/2/2019 8:30,KAZZAK,CHECKED
12/2/2019 9:00,AZUREGOS,CHECKED
12/2/2019 9:00,KAZZAK,CHECKED
12/2/2019 9:30,KAZZAK,CHECKED
12/2/2019 9:31,AZUREGOS,CHECKED
12/2/2019 11:00,AZUREGOS,CHECKED
12/2/2019 11:00,KAZZAK,CHECKED
12/2/2019 11:30,KAZZAK,CHECKED
12/2/2019 11:30,AZUREGOS,CHECKED
12/2/2019 12:00,AZUREGOS,CHECKED
12/2/2019 12:00,KAZZAK,CHECKED
12/2/2019 12:20,KAZZAK,CHECKED
12/2/2019 12:54,KAZZAK,CHECKED
12/2/2019 13:31,KAZZAK,CHECKED
12/2/2019 13:59,KAZZAK,CHECKED
12/2/2019 14:00,AZUREGOS,CHECKED
12/2/2019 14:30,AZUREGOS,CHECKED
12/2/2019 14:30,KAZZAK,CHECKED
12/2/2019 15:01,AZUREGOS,CHECKED
12/2/2019 15:04,KAZZAK,CHECKED
12/2/2019 15:31,KAZZAK,CHECKED
12/2/2019 16:19,AZUREGOS,CHECKED
12/2/2019 16:35,KAZZAK,CHECKED
12/2/2019 16:52,AZUREGOS,CHECKED
12/2/2019 16:57,KAZZAK,CHECKED
12/2/2019 16:57,KAZZAK,CHECKED
12/2/2019 18:07,AZUREGOS,CHECKED
12/2/2019 18:08,KAZZAK,CHECKED
12/2/2019 18:25,KAZZAK,CHECKED
12/2/2019 18:43,AZUREGOS,CHECKED
12/2/2019 19:11,AZUREGOS,CHECKED
12/2/2019 19:19,AZUREGOS,CHECKED
12/2/2019 19:27,AZUREGOS,CHECKED
12/2/2019 19:40,KAZZAK,CHECKED
12/2/2019 19:43,AZUREGOS,CHECKED
12/2/2019 20:01,AZUREGOS,CHECKED
12/2/2019 20:04,KAZZAK,CHECKED
12/2/2019 20:05,AZUREGOS,CHECKED
12/3/2019 0:21,AZUREGOS,CHECKED
12/3/2019 0:47,AZUREGOS,CHECKED
12/3/2019 8:52,KAZZAK,CHECKED
12/3/2019 8:52,AZUREGOS,CHECKED
12/3/2019 10:00,AZUREGOS,CHECKED
12/3/2019 10:00,KAZZAK,CHECKED
12/3/2019 10:30,AZUREGOS,CHECKED
12/3/2019 10:30,KAZZAK,CHECKED
12/3/2019 10:43,AZUREGOS,CHECKED
12/3/2019 10:43,KAZZAK,CHECKED
12/3/2019 12:12,KAZZAK,CHECKED
12/3/2019 13:20,KAZZAK,CHECKED
12/3/2019 2:36,AZUREGOS,KILLED
12/2/2019 23:26,KAZZAK,KILLED
12/3/2019 16:29,KAZZAK,CHECKED
12/3/2019 17:01,KAZZAK,CHECKED
12/3/2019 17:32,KAZZAK,CHECKED
12/3/2019 18:02,AZUREGOS,CHECKED
12/3/2019 18:12,KAZZAK,CHECKED
12/3/2019 18:31,KAZZAK,CHECKED
12/3/2019 19:47,KAZZAK,CHECKED
12/3/2019 20:29,KAZZAK,CHECKED
12/3/2019 21:06,KAZZAK,CHECKED
12/3/2019 21:40,KAZZAK,CHECKED
12/3/2019 21:58,KAZZAK,CHECKED
12/3/2019 23:49,KAZZAK,KILLED
12/3/2019 23:53,AZUREGOS,CHECKED
12/4/2019 0:21,AZUREGOS,CHECKED
12/4/2019 0:56,AZUREGOS,CHECKED
12/4/2019 1:18,AZUREGOS,CHECKED
12/4/2019 2:16,AZUREGOS,CHECKED
12/4/2019 2:41,AZUREGOS,CHECKED
12/4/2019 3:18,AZUREGOS,CHECKED
12/4/2019 3:47,AZUREGOS,CHECKED
12/4/2019 4:15,AZUREGOS,CHECKED
12/4/2019 4:38,AZUREGOS,CHECKED
12/4/2019 5:41,AZUREGOS,CHECKED
12/4/2019 6:31,AZUREGOS,KILLED
12/4/2019 9:09,AZUREGOS,CHECKED
12/4/2019 9:37,AZUREGOS,CHECKED
12/4/2019 10:03,KAZZAK,CHECKED
12/4/2019 10:03,AZUREGOS,CHECKED
12/4/2019 10:54,AZUREGOS,CHECKED
12/4/2019 11:35,AZUREGOS,CHECKED
12/4/2019 12:32,KAZZAK,CHECKED
12/4/2019 12:32,AZUREGOS,CHECKED
12/4/2019 13:06,AZUREGOS,CHECKED
12/4/2019 13:30,AZUREGOS,CHECKED
12/4/2019 13:30,KAZZAK,CHECKED
12/4/2019 13:59,AZUREGOS,CHECKED
12/4/2019 14:00,KAZZAK,CHECKED
12/4/2019 14:30,AZUREGOS,CHECKED
12/4/2019 14:30,KAZZAK,CHECKED
12/4/2019 14:34,AZUREGOS,CHECKED
12/4/2019 15:00,AZUREGOS,CHECKED
12/4/2019 15:00,KAZZAK,CHECKED
12/4/2019 16:03,AZUREGOS,CHECKED
12/4/2019 16:07,KAZZAK,CHECKED
12/4/2019 17:58,AZUREGOS,CHECKED
12/4/2019 17:58,AZUREGOS,CHECKED
12/4/2019 18:03,KAZZAK,CHECKED
12/4/2019 18:18,AZUREGOS,CHECKED
12/4/2019 18:27,AZUREGOS,CHECKED
12/4/2019 18:38,KAZZAK,CHECKED
12/4/2019 18:50,AZUREGOS,CHECKED
12/4/2019 19:01,AZUREGOS,CHECKED
12/4/2019 19:18,AZUREGOS,CHECKED
12/4/2019 19:42,KAZZAK,CHECKED
12/4/2019 20:08,AZUREGOS,CHECKED
12/4/2019 20:15,KAZZAK,CHECKED
12/4/2019 20:42,KAZZAK,CHECKED
12/4/2019 22:32,AZUREGOS,CHECKED
12/4/2019 22:38,KAZZAK,CHECKED
12/4/2019 23:14,AZUREGOS,CHECKED
12/4/2019 23:45,KAZZAK,CHECKED
12/5/2019 0:01,AZUREGOS,CHECKED
12/5/2019 0:09,KAZZAK,CHECKED
12/5/2019 0:39,AZUREGOS,CHECKED
12/5/2019 1:14,AZUREGOS,CHECKED
12/5/2019 1:48,AZUREGOS,CHECKED
12/5/2019 2:20,AZUREGOS,CHECKED
